# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-01
# bridge: path_strategy x density_regime
# path_strategy: tmu
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: 0.000000
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: strict_normal_domain
# noanom_policy: none
# gamma_zero_tol: 1.0e-6
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
tmu,1,120.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.011917,0.011917,1.861614,1.861614,2.783723,134.963978,497.656285,NaN,NaN,0.057375,0.011464,0.199817,,,,,ok,
tmu,1,120.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.011917,0.011917,1.861614,1.861614,2.783723,134.963978,497.656285,0.000000,0.000000,0.057375,0.011464,0.199816,,,,,ok,
tmu,1,120.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.011917,0.011917,1.861614,1.861614,2.783723,134.963978,497.656285,NaN,NaN,1.881372,2.499796,1.328709,0,0.050000,0.000000,0,ok,
tmu,1,120.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.011917,0.011917,1.861614,1.861614,2.783723,134.963978,497.656285,NaN,NaN,0.166206,0.115169,0.692931,0,0.050000,0.000000,0,ok,
tmu,2,130.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.019763,0.019763,1.859434,1.859434,2.782400,134.958857,497.632484,NaN,NaN,0.075942,0.018353,0.241674,,,,,ok,
tmu,2,130.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.019763,0.019763,1.859434,1.859434,2.782400,134.958857,497.632484,0.000000,0.000000,0.075942,0.018353,0.241672,,,,,ok,
tmu,2,130.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.019763,0.019763,1.859434,1.859434,2.782400,134.958857,497.632484,NaN,NaN,2.099032,2.778482,1.323696,0,0.050000,0.000000,0,ok,
tmu,2,130.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,strict_normal_domain,none,arg_inverse_propagator,fold_0_pi,12.000000,48,0.050000,10.000000,48,,0.019763,0.019763,1.859434,1.859434,2.782400,134.958857,497.632484,NaN,NaN,0.204302,0.141043,0.690365,0,0.050000,0.000000,0,ok,
tmu,3,140.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,stable,,,,,not_applicable,none,,,,256,,,,,0.032206,0.032206,1.854667,1.854667,2.779443,134.946268,497.571939,NaN,NaN,0.098075,0.027820,0.283660,,,,,ok,
tmu,3,140.000000,0.000000,0.000000,0.000000,default,default,pi,K,false,0.000000,0.000000,3,4,strict_bw_stage1,,strict_bw_stage1_reduced,,,not_applicable,none,,,12.000000,48,,10.000000,48,0.000001,0.032206,0.032206,1.854667,1.854667,2.779443,134.946268,497.571939,0.000000,0.000000,0.098075,0.027819,0.283655,,,,,ok,
